,Model Name,Dim,Method,Samples,Runtime_v,Runtime_f,Volume
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0, Flow*,,5.566855500001111,5.626324858996668,0.432768000622731
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,10,1.1578455109993229,1.4966634760057786,0.126617625281519
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,10,0.24457075900863856,3.218009364005411,0.186707781625968
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,20,1.4215357170032803,1.8258920310036046,0.135797998640349
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,20,0.38468450799700804,3.8411444329976803,0.188013235296591
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,50,3.527489346000948,4.235520494999946,0.137257629740890
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,50,0.8704510090028634,8.061562985996716,0.229919572286816
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,75,4.43088725200505,5.548661164008081,0.133015073032134
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,75,1.8397267690015724,14.14608710500761,0.226553413188235
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,100,6.189216787999612,8.065889446996152,0.135636378548631
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,100,1.761531437994563,21.47591431600449,0.215004691781152
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,150,22.345175788999768,27.95736957900226,0.138758496518728
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,150,3.900697595003294,40.654173072005506,0.250998446797005
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,200,13.457467469997937,16.296138972000335,0.136281379182142
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,200,3.6982136000005994,34.0557356079953,0.236311477950331
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,400,33.605522208003094,47.7600404570112,0.139925267133012
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,400,14.379009215001133,97.57657452799322,0.257598378670555
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,500,39.26559893699596,48.57661584200105,0.139503755997733
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,500,8.293203053006437,69.24122061200615,0.266464234041186
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,750,44.552225171006285,53.30549946699466,0.139339223336138
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,750,10.481052760995226,94.81364121299703,0.284169954391383
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,sensitive,1000,57.847768141989945,70.68485429498833,0.139615859687319
0,"System(R, (x, y), [[1.1000000000000000 .. 1.4000000000000000], [2.3500000000000000 .. 2.4500000000000002]], (y, -x^2*y - x + y), varmap=bidict({'x': x, 'y': y})))",2.0,lipschitz,1000,15.65236848598579,138.22871962598583,0.301916550075100
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0, Flow*,,19.509617662988603,19.672704731987324,0.181785889863816
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,10,6.5472603410016745,6.771532010985538,0.0200946472410706
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,10,0.3577006359992083,1.7742666630074382,0.00994280961091322
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,20,11.693289302987978,12.137172646995168,0.0254088085376105
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,20,0.5740473089972511,3.200648360012565,0.00922054712530217
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,50,28.605226729006972,29.626609647006262,0.0253773259691795
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,50,1.4768107169948053,7.595932044001529,0.0104568928398987
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,sensitive,75,42.84158557001501,44.31237830300233,0.0275077783182841
0,"System(R, (x1, y1, x2, y2), [[1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002], [1.2500000000000000 .. 1.5500000000000001], [2.3500000000000000 .. 2.4500000000000002]], (y1, -x1^2*y1 - 2*x1 + y1 + x2, y2, -x2^2*y2 + x1 - 2*x2 + y2), varmap=bidict({'x1': x1, 'y1': y1, 'x2': x2, 'y2': y2})))",4.0,lipschitz,75,2.1156122449901886,11.514564032986527,0.0139284476447714
